,TP53 (M),FOXA1 (M),SPOP (M),PTEN (M),APC (M),KMT2C (M),KMT2D (M),CDK12 (M),PIK3CA (M),CTNNB1 (M),ATM (M),AR (M),KDM6A (M),BRCA2 (M),JAK1 (M),SPEN (M),RB1 (M),NCOR1 (M),MED12 (M),KMT2A (M),PTPRD (M),PIK3R1 (M),GRIN2A (M),RNF43 (M),ASXL1 (M),FAT1 (M),ASXL2 (M),AKT1 (M),ARID1A (M),BRAF (M),CREBBP (M),MTOR (M),CDKN1B (M),EPHB1 (M),SETD2 (M),NOTCH1 (M),PTPRS (M),CIC (M),NF1 (M),POLE (M),FOXP1 (M),SF3B1 (M),SMARCA4 (M),DOT1L (M),HRAS (M),TBX3 (M),PTCH1 (M),CDH1 (M),EPHA3 (M),RYBP (M),Seeding
10,0.0002701035794652778,-0.0008854094794695713,0.0033118322065610016,0.45627415021549095,0.0006502903007630886,0.003957158738052534,-0.644530884297762,0.0004490015788202645,-1.6879187443022776,0.17732862823544215,-0.00048506369351093985,-0.001823142069362587,-0.00243577418708323,-0.001048258203329589,0.395099122272049,0.0001936462943885528,-0.0022970194416413988,-0.0014060978718314935,0.0006815327513267699,-0.002237372254515054,-0.0015651174147165137,-0.001306756426191036,0.001102055863801496,-0.001503381944013264,-0.2178304420865045,-0.00024047883510691894,0.003035699067042252,0.0006389955222634882,-0.002739748947941153,-0.0005592807040789399,-0.004891503623086211,0.0012204026036204407,0.9888945299483107,-0.00043788023710091895,0.002273537998071793,0.00024394350098616742,0.0012502871345283614,-0.0010692906983163011,-0.002646973572477939,0.0014085361931427183,0.0010640864350016219,-0.0010050968228005634,0.003079346065970386,-0.0012745397867598217,-9.17950454310736e-05,0.001213863135296525,-0.0005934675607661977,-0.0004431013024756146,-0.0012369981884150993,-0.0003868441307353806,-0.9430518122969516
11,-0.293710645603138,-0.0026946504616502816,0.037060795547840676,-0.46637476827551416,-0.3545952704110919,-0.7718804924003899,-0.6161658049383363,0.00012190637890389949,0.0005242568813110424,-1.702993898380185,0.0009736783995877925,-0.0011622764183908097,0.0003845575102038783,0.0029465518372874698,-0.0019275190943760234,-0.049162875007837344,-0.002155210705124092,1.8892737639619479e-06,-0.062411979260205176,-0.0027213635587136726,-0.0004915110519815038,0.003801299586401169,-0.0016708398726649626,-0.0016043096853073195,-0.002603269911988998,-0.0010253150282783362,-0.0009995785083171088,0.003964616161617494,-0.000614690307386173,-0.0012448358656439204,-0.0009060398974730712,-0.0007952533095514769,-0.000337617266311065,0.00020425202222449675,-0.0011157446146006162,-0.0013710715760551283,-0.030675314070354762,-0.0015322240519479754,-0.0004532397650440514,-0.0009979072573665254,-0.0009135079808721539,-0.0008566552437021731,-0.0002634784454783001,-0.001074428690681402,-0.000965346389227504,-0.0007851329967668037,-0.00023730961515735596,-0.000908370881622276,-0.0006830007679317253,-0.0008989610182247951,0.0023013322370172284
12,-0.04307946612690497,0.014488641087740204,0.0007975506909344729,0.6053732871068008,0.0033693728314212004,-0.3255023742174472,-0.34656070912707276,0.0006084085548451243,-0.026237055849870145,0.0013464921031446373,-1.608306478736687,-0.002217231574867002,0.0013760374081299065,0.3778855835345262,-0.29252913344792464,0.459547692437041,-0.0012432856543398499,0.16893008736894402,-0.0002492452991717899,-0.001596294830797548,-0.003823808878995446,-0.0013795399279637834,0.04615386798689809,0.0005610795203175315,0.0012799598564581392,-0.0007336224626314466,-0.0014000090061136786,0.002090889148550639,-0.0011678890487476642,-0.002225113329631314,0.001056467757450068,-0.3614963926110455,-0.0023950557735343252,0.001840196569750056,-0.0023048284918033685,0.002872880389802484,-0.087071442540542,-0.000623879626301923,0.001193840362075824,-0.0012220604785583037,-0.00030538420137706684,-0.0011901226538604851,-0.004408098014331887,0.0009792446415097034,-0.0014985668787033917,-0.0015949176602102792,-0.0012487576696097278,-0.0018316179708833824,-0.005893917467208028,0.0014158118267142024,0.0007510899073928187
13,0.039333203681878204,0.005833668371599094,0.0008331434823112011,-0.0025472857460354533,-0.0032049102381757357,1.0469865941019023,0.4055307655208235,-0.00033153204767238237,-0.0005936056289445519,0.0008413986398915982,-0.0273770899113649,-3.6175401699172594,0.015520292196350684,-0.000985011760762814,0.05814766938456736,-0.0002222003683338093,-0.003564845911312428,0.0022737698258889156,0.0002736525430965513,0.005374110040553746,0.0017001497133578704,-0.0008518786800748089,-0.0005938690032770276,-0.001594424294106782,-0.001347685791803093,0.001770904056250233,-0.00044413464465104376,1.084962802595633e-05,-0.0024465656782263374,0.0015016567290573645,0.0008803869048216924,-0.0018159131376660775,-0.0007251141995141912,-0.0006532333379698576,0.0008076675725890077,-0.0012906208356914227,0.49880456020511366,-0.0008312727523092504,0.1055350242951403,-0.0006452858850526885,0.0004975795468515822,-0.0010533553178232965,-0.0011240908858256321,0.0003967635345555539,-0.0015933583358319597,0.0001682354193686403,0.0016113034756153224,-0.0017147396407730868,0.0010263796852734524,-0.0017337896577956226,2.8877286276739134
14,-0.0030250884913960055,-0.1341447531317167,0.12362554520723446,-0.00045013066171073913,0.0015128990655158398,-0.38984062816116105,-0.5129695732672495,-0.0011268913244895365,-0.12167459609971835,0.0031268576911023366,0.004543069152506571,-0.0015973597381557876,-1.4096895730379646,-0.002977694023830214,0.0027049980807466773,-0.0005471091424605317,0.002292303375285868,0.0006410475194800029,0.0008816318910531279,-0.00026440917687327943,-0.0020993724070614535,-0.001344859784034729,0.0024647003047146335,0.0010634171097700742,-0.0007961150404154496,-0.0009883821544241006,-0.001463266321721912,0.0015605918848823493,-0.0002548520211655068,0.000469810762659418,0.1744191827327169,-0.005227550326250606,0.376583444461522,-0.001576726404906042,0.0021062491741962873,-0.002628457841460357,-0.4760500828524612,-0.0010239205851451118,0.008998603018795381,-0.00018673223013204222,5.769830534985902e-05,-0.001080168753183672,-0.0005712112630430031,-0.003006750351179622,0.001950497264128024,-0.001142168950368193,-0.008109409219759538,-0.0012788331752099375,-0.001206285787223546,0.0007480886266781744,-0.6370373625715382
15,-0.5742330495913698,0.002126145309242179,-0.09666818308825807,-0.0021803662721919213,0.0005277733797727061,-0.865206854970069,-0.234826656719673,-0.0005414189075786569,-0.001111726819292013,0.003312371539991248,0.007019972513082749,-0.0006351179939330599,-0.000856769975632426,-1.672957830105285,-0.013204689269645919,-0.0009497603349487483,-0.0028321275542973505,-0.002432731058633309,-0.0003411361012311831,-0.07645131455538026,0.0018527290478146494,0.03049258724684279,-0.0022408904957386447,0.002164055236600164,-0.0018404888601673253,-0.1075027616596052,0.03630970439353613,-0.0015244298340304164,0.0007388719044929058,-0.001498757150013583,-0.0014207411767102743,-0.0017216789020990189,-0.002890083475838507,0.003111381573243778,-0.00032532812204039195,-0.001709494239276164,-0.0011579505557481639,-0.0002272112311193948,-0.0015420816145513944,-0.00030521157518875335,0.00010061193161286163,-0.0008514091849196604,0.00012635179247168506,-0.0013892970550865116,-8.268733805005335e-05,0.0018038793761011767,-0.0005866912825102978,-0.0010471619789904996,-0.0001352874128342839,-0.000927113350887053,0.0007091336056755285
16,0.002669649963988827,-0.0013609266298149874,-0.00095739833902209,0.8375957638919043,0.0008432458812674778,-0.0064283846271079425,1.6591830372704446,-0.00048113215636658873,0.0028602111238461457,-0.0004514200974103694,-0.0011300366492038032,0.00016178802613172675,0.0008868528631872301,3.7933628238215726e-05,-2.7075785883598518,0.9393549077677438,-0.0011920696360908864,-0.0020772976063174013,0.0006733923912044868,0.0029394844973719587,7.696088049111992e-05,0.0018749681855386217,-0.0018592547953566081,-3.683874725915023e-05,-0.8146152243615589,0.0116924902967491,-0.0008929933895868785,9.28482283530302e-05,0.00027985350045305686,0.0012231072745172936,0.12519377466547565,-0.00030369087246860226,0.00013744698703099776,-0.0007709475913608502,0.0007755974166581425,-0.22109174014195884,0.0032750684419839615,0.001735363780609179,0.002188642553903654,0.0004173874774969895,0.0023147074016130476,0.00030873995524164526,0.006731913565237449,-0.0019104253284417388,-0.0011013725024866527,0.0002484722481973768,0.001907976863137059,-0.0014593623949224173,0.0005623257946844191,-0.00033768821362472164,0.00038180672052316294
17,6.245703878783896e-05,-0.0018877244842533366,-0.002124457480852814,0.0012442641570901158,0.0005722634603843894,-0.0004450899401388904,0.31793063052664894,-0.000686555313385123,0.0007613809170671603,-0.018981393321157076,0.0012990613948752243,-0.000632801579520333,0.0006461381103511558,-0.005260717908568026,1.3029477495826647,-1.82430302716571,-0.0006284119821848325,0.00196652108949526,-0.0014702672709953773,-0.0070060681470843385,-0.00042557004639883926,-0.0028511068794926635,0.15972372911743357,-0.0023721168984326014,0.0003126396048076913,0.00010477971354025227,-0.0011957783140588872,-0.000922860960292232,-0.17873288753701777,0.0005781239924530838,0.045206743306529136,-0.002725407837493525,0.0022178774673612474,-0.0004713743348042233,-0.00024150761798664026,0.0006952633022592537,0.00035133555896000587,0.0007124976429668892,-0.15144043878708804,-0.0010356662196656912,-0.0008700385710313876,-0.00021396616825094714,-0.0016294474459849844,8.559885146809578e-05,-0.0012528633270514837,0.00026695219724918366,0.00012374966344982853,-0.0004469945250148978,-1.87872990924397e-05,-0.0014032117300075955,0.0017652340099586772
18,-0.000319030873659065,0.005892671945620174,-0.0006819661233273787,-0.0014914378977962368,0.5088577456531035,-0.00038712352071184914,0.00036456533221632516,-0.0006970226474086265,-0.0010949164994839015,-0.0010994983936330352,0.0002990494384739336,-0.00015135419550756416,0.0005367750047009737,-0.001866468275129714,-0.0014678896132430308,-9.275299851322857e-06,-2.475461527096823,-8.495591282335293e-05,-0.000508789030267345,0.000216301406050613,0.000628668197268825,-0.0005384912073380011,0.0020389794140293943,0.001375927456358718,0.07591314868402606,-7.622931985380255e-05,-0.0006323944626042336,0.0008263736369923012,0.0027832410700132947,-0.0011317959933498743,-0.0007999278607038715,0.001038456980397471,0.0009654142578728131,-0.0006427717145464991,8.540425435550695e-05,-0.0003014629964484996,0.0009947389804066545,0.001338732014273265,-0.0037883687891255547,0.0002498299872844538,0.00027353590801527147,0.0012536981820667498,-0.0013506100222203062,0.0018054809736250939,0.003592797435805964,-0.0007036240383527584,-0.00014981959404530642,-0.030262024515159684,3.2227546571253414e-05,0.0013515704658152213,0.0005689578884748615
19,0.0017800991634503768,5.491427201933537e-05,-0.00019460575004336128,0.14204536575393995,-0.0038945867630773632,0.12053081314078005,0.10546391034154731,-0.0007782471789135827,-0.0010719143245122768,0.0008261061162141141,0.003109343756417124,0.0012321939024791777,-0.0009599909316815024,-0.001570498994903925,-0.0007331660972565216,0.8075192008604873,-0.0008088392689935861,-2.3640317321014326,-0.0006177338419594955,0.19202924589039097,0.001456979113429676,0.0014592850334252325,0.0007332175074770027,-0.0018218262236087144,0.0420037452865794,0.0006011983684819679,-0.0006760197632588878,-0.0008117574772350272,0.13870045936387457,-0.0021256593030927104,0.0003546905625442373,-0.004599541327426887,-0.0005048619724655369,0.0013192838181761836,0.000996195685606491,0.0019945695754408836,-0.0029014329900430838,-0.00010797563614907453,0.0011122548446046994,0.0005485774011556708,0.005418061191991014,0.00034178153071988697,-0.0008243904308901715,-6.493239546766531e-06,-0.0014680318983938156,-0.0014964728518997215,0.002230565490749806,-0.0008782252995422745,0.002100278876296627,-0.0015248404061418699,0.23572825084818005
