,P.Mut.KRAS,P.Mut.TP53,P.Mut.SMAD4,P.Mut.CDKN2A,P.Mut.ARID1A,P.Mut.RNF43,P.Mut.MEN1,P.Mut.TGFBR2,P.Mut.KDM6A,P.Mut.KMT2D,P.Mut.GNAS,P.Mut.DAXX,P.Mut.KMT2C,P.Mut.ATM,P.Mut.RBM10,P.Mut.BRCA2,P.Mut.SETD2,P.Mut.ATRX,P.Mut.PIK3CA,P.Mut.RB1,P.Mut.TGFBR1,P.Mut.SMARCA4,P.Mut.SMAD3,P.Mut.MAP2K4,P.Mut.TSC2,P.Mut.BCOR,P.Mut.U2AF1,P.Mut.SF3B1,P.Mut.STK11,P.Mut.PTPRT,P.Mut.PBRM1,P.Mut.PTPRS,P.Mut.PTEN,P.Mut.APC,P.Mut.ZFHX3,P.Mut.ARID2,P.Mut.BRAF,P.Mut.MGA,P.Mut.PREX2,P.Mut.EPHB1,P.Mut.EP300,P.Mut.ELF3,P.Mut.KMT2B,P.Mut.NOTCH1,P.Mut.FBXW7,P.Mut.ERBB3,P.Mut.SOX9,P.Mut.ERBB4,P.Mut.NF1,P.Mut.FLT4,Seeding,Sampling
P.Mut.GNAS,-7.367310727076818e-05,-0.7276785120121451,0.6848797094181595,-0.0008085540328260922,-0.0007153330066288405,0.0004391741524218194,-0.0015947190040844948,-7.916988531785272e-05,-3.136331476063992e-05,-0.0002993717127468869,-7.476400687724673,-0.0011438017662724887,-0.0002793883498033434,-0.0005870808721322413,-2.8755010588905412e-05,-0.00022468052511260024,4.9044934835046464e-05,-0.00031419839843243,0.00032286733027751596,0.00013829066052131387,0.00029416471646988095,-0.0001968843945430284,-0.00010017472906230314,-0.0001095799964522586,-0.0004297509526369022,0.0003302428412484858,-6.945381571784025e-05,-0.00011135422170795833,-3.157868604358234e-05,-0.00013057101866649484,0.0003358109723622369,-0.00025799376101504014,0.00020056928787805884,-2.3799644091388037e-05,0.0001383570052691437,0.000283991033741999,-0.00012399632217416023,-2.5169543142102307e-05,-0.00010581313413576769,0.0003031312231133219,-3.2684646373159004e-05,-2.0843847470571784e-05,-0.00010411205075511362,-2.2664864096768505e-05,-5.065844542387456e-05,-4.362940144446151e-05,-0.00017340936202023876,0.0,-1.0773233305771263e-05,-1.382939300475763e-05,-0.0008463348510899746,0.0
P.Mut.DAXX,-1.0052764178902722,-0.0023828227406334185,-0.0032339362848158772,-0.0013508806362007954,0.0008777156130246932,-0.0009206985437019904,3.8841389069032686,-0.000573781315593223,-3.421002801926562e-05,-0.0008643897038333894,-0.0002239644549671672,-7.200597778218743,-0.0007435819610885621,-0.0003321862549939461,-1.9264500759672844e-05,-0.0003544722286119982,-0.0006752113567626237,-0.0014832935525328271,-0.0004400631400847782,-0.0001648819000428015,-7.87651628473971e-05,0.00015509857887713533,-0.00011583133004799842,-0.00011194450964324061,0.0005980976677405431,-5.3694221513252414e-05,0.002814560129801228,-0.000300359057764859,-0.00043261525466948897,-0.00011668868423833303,-4.7291192830385074e-05,-0.00020853878160956033,0.0002058962488111129,-2.7200633540701817e-05,-0.0007943520618771357,-0.0005050062653518855,-0.00018712754065287497,-1.8482057966598806e-05,-0.0005481590259321516,0.0009354244615843799,-0.0004612199285535534,-0.0003762176310108494,-0.0005445195885864773,-1.8862079191086695e-05,-7.482139179973315e-05,-6.265012256086629e-05,-0.0001248852535049567,0.0,-7.926612447465677e-06,-1.2861455428676482e-05,0.5076349056353804,0.0
P.Mut.KMT2C,-0.0034062667142090697,-0.6326731917698716,0.0006475342499645039,-0.0018622916064899918,0.004718877586564478,-0.0006737568342220301,0.00315056014523651,0.00024177330915855718,-3.84407196133153e-05,0.0032666369354530512,2.7481766966876385e-05,0.0030904485928930324,-6.957593545365307,-0.0008277603909530857,-3.191220255636977e-05,-0.00036613076260802636,0.0003168748479430273,-0.0005483366697573475,0.00028894674471958396,-0.00022664566342199652,0.0002578743280049018,-0.00027507048471253604,-0.00012818230029618583,-0.0001838425716735363,0.0022221999033848446,0.0003183414723315064,-0.00013598131525493736,-0.0005169166312240026,0.0003040575163019129,-0.00014314386539346786,0.00032817501892653183,-0.0003053098242601272,-2.641958642748115e-05,-2.7439701255466892e-05,0.0005849018848123474,0.0005838251546204673,-0.00018437429370257616,-2.8404435314916622e-05,0.00014428857664490417,0.0002686049080449823,0.00027535840345411784,-2.8066556338069734e-05,0.00014689163084855375,-2.9607226703613384e-05,-8.340323637729346e-05,-8.021390729045659e-05,-0.0002793630820204479,0.0,-1.1374362576865719e-05,-1.7854763973616515e-05,-0.013841195005734202,0.0
P.Mut.ATM,-0.0005500566942717263,-1.2220894273147083,-8.081356625793292e-05,-0.0008211542487235337,3.459456926429777e-05,-0.0008090009302400566,-0.002311356930040705,-0.00010935998949576764,-2.807183306165615e-05,-0.0002149334568836065,-0.00023082840192990397,-0.0013691154805804474,-0.0005212069024540613,-6.922054557245491,-2.7677919076719396e-05,-0.0002339498464699987,-0.00026684548194961437,-0.0004537199655640523,-4.6261979238601905e-05,-0.00015747539510825784,-0.00012673864152267674,-0.0001969518988510771,-7.675955100516705e-05,-0.0001713611587716873,-0.00042558652484589297,-6.649353110685784e-05,-9.578115099167467e-05,-0.0003394210070445066,-2.9990698964355896e-05,-7.580110697694682e-05,-5.9168471644030404e-05,-0.00014222252620184927,-0.000543128528160875,-2.303996032686591e-05,-0.0002661041263789505,-0.0001337789169943112,-0.00014411455489442575,-2.232149842353711e-05,-0.0001308554429244134,-0.00010059381435798722,-5.816752568918289e-05,-2.611407203407953e-05,-0.00012336847379689568,-2.411704410761924e-05,-3.9948961083142396e-05,-4.665602577684394e-05,0.0015608408505247838,0.0,-5.996383038071851e-06,-1.267020956979903e-05,-0.6247025678869297,0.0
P.Mut.RBM10,-0.00017746113690158153,-0.0005781751379325239,8.464088077426832e-06,-0.00020916837996170218,0.0003580108135844384,-8.74244984399494e-05,-0.00015343805335057604,-3.449794908743105e-05,-1.1941162689247554e-05,-2.7204572230189762e-05,-1.721162166214218e-05,-0.00010700404011956122,-8.315422961937822e-05,-4.157592482659959e-05,-9.796304363884069,-2.055697132449772e-05,-5.040758985306565e-05,-1.4760500381522012e-05,-1.5833913305740378e-05,-1.1063389402572327e-05,-2.34414103393489e-05,-4.4103399415667594e-05,-3.059783847504847e-05,-2.0267975058350017e-05,-3.720319883772544e-05,-1.5750799194630237e-05,-9.491175437497379e-06,-4.0309959357335357e-05,-1.1681856980172971e-05,-1.8641876447083969e-06,-1.1047162953269979e-05,-2.4960400774628706e-05,-2.9622328687670338e-05,-9.310384113244816e-06,0.0007829781505961895,-2.767285466241166e-05,-2.4372144585851778e-05,-9.605862519998814e-06,-4.203574073250813e-05,-2.1333907861092117e-05,-1.4779052315220134e-05,-9.002373092979657e-06,-4.160313923919469e-05,-9.613186883596137e-06,-7.748806180181319e-06,-1.8443083403023782e-05,-4.830708563828541e-06,0.0,-3.496812013432952e-06,-7.105194207769299e-06,-0.0006774893879090992,0.0
P.Mut.BRCA2,-1.1001973539589496,-0.010925276876660749,-0.002139847649314785,-0.0014235153286394275,-0.0011985647987573281,-0.0008900473690361171,-0.003493790629744031,-0.00010323007997172416,-3.417357508319798e-05,-0.0001765725655885981,-0.0002415017319993523,-0.0021441426678872866,-0.0005368799134400538,-0.0002697441903346482,-1.8952500282128415e-05,-7.1017524518354005,-0.000390544392263383,-0.00046702515120919966,-3.4757450252370455e-05,-0.00012021820173335275,-0.00015049634414894254,-0.0003014926916641599,-6.454374254789452e-05,-9.987948850824862e-05,0.0016588905467976303,-0.00011536507285857457,-8.203785206499075e-05,-0.00022875021839510737,-2.7287742707361112e-05,-0.00013909822147873256,-0.00011005547143622899,-0.00014514793353550927,0.9064505233061664,-2.7968947549688988e-05,-0.0003221500557910724,-0.0001738394001327909,-0.0001611211938225023,-1.7976046010726064e-05,-0.00010038640731014753,-0.00016660109252481368,-6.101723507309049e-05,-2.1549742989873757e-05,-9.778172765238152e-05,-1.8459256018106574e-05,-5.2309187290020607e-05,-5.085298420854058e-05,-0.00010489690140134057,0.0,-2.81761849778636e-06,-8.650702390563653e-06,-0.000590678413321874,0.0
P.Mut.SETD2,-0.0025056739841863686,0.0013166640573220693,-0.000823965529670176,-0.0019834516354544206,-0.0009280135712831718,-0.00046380732060928115,0.25181071179631276,0.00026444747120185787,-3.629992292430859e-05,0.0004039917347512486,6.9133248021748e-05,0.002291666229593178,3.1016012142143284e-05,-0.0004838659983515008,-2.7569232468108006e-05,-0.0002780447019961608,-7.474292229200515,-1.6526572331342886e-05,0.0003022611143769043,0.0028829312356754666,0.00025414444758288334,-0.0002327768538859485,-0.00014207758027772352,-0.00012837817924197224,0.0019320679810978809,0.00030330173797368137,-0.00013110481384212634,-0.0004229635111541354,0.00031106100753750774,-0.00013494444450377617,0.00031260019707812027,-0.000301206869220344,0.00015474965743946187,-2.4667426888692597e-05,0.0005713882830420549,0.0006016724983885083,-0.00011653380566427349,-2.7455591721968784e-05,0.00013539752736946967,0.00026660031007243217,0.0002900078383413515,0.00034147745220559336,0.0001703272068507402,-2.7483884039123966e-05,-8.339607871752489e-05,-7.134859081517014e-05,-0.00017277815508126207,0.0,-8.719772992940563e-06,-1.5863486329457507e-05,0.0029668648305345422,0.0
P.Mut.ATRX,-1.8413953863372874,-0.15555560317880204,-0.0011732023390588742,-0.001072319428486055,-0.0018510275213582568,-0.0007812245834987431,0.867916714025485,-8.83727955256315e-05,-4.533173059211825e-05,-0.00014378013006849654,-0.00018510850196724426,-0.00318297303674558,-0.0005481754726867348,-0.0002514195082172333,-2.0427880934733543e-05,-0.00023800936493096727,-5.227329790218312e-05,-6.502767392367547,-4.5179111893755785e-05,-8.855967175401536e-05,-0.000130918131558541,-0.0005618575772790116,-5.2234438472871816e-05,-9.325206487907033e-05,-0.0011856042900718498,-9.351223415680273e-05,-6.455518504461984e-05,-0.00019004649499700855,-3.312511194798721e-05,-6.544284869268357e-05,-8.564626665413536e-05,-0.00010439380151965433,-0.0010397313178301653,-4.024022561719875e-05,-0.00024518897377337733,-0.0001431533352644538,-0.00019626808454943132,-1.8008667746645288e-05,-7.977366327436601e-05,-0.00017735937577836598,-8.884581986463608e-05,0.00032497960709818914,-7.591879425095961e-05,-1.9256044284581766e-05,-2.8187217227706146e-05,-3.486474915267463e-05,-7.686213250985192e-05,0.0,-6.221361426912093e-06,-1.2337070446963849e-05,-0.862170661144699,0.0
P.Mut.PIK3CA,-0.00028517460955338993,-0.0008480679837178567,-0.0004754702504602322,-0.0003123649944663523,-0.0001943843792997196,-0.00013348680524076083,-1.0749809528846967e-05,0.00039717192108602845,-1.2083403073396718e-05,0.0003369834260940416,0.0003191098286760443,-0.0001647897409154047,0.000288405578084216,-6.0377822335077056e-05,-1.0419562070043103e-05,-6.412887429234434e-05,0.0003151003123001988,-5.558985006858929e-05,-9.360752668674065,-5.444914666355028e-05,-1.665351210912944e-05,-4.717625280778542e-05,-1.4421527786022233e-05,-3.117743036581085e-05,-7.245599657651295e-05,-1.4063330521745628e-05,-2.5162768596703007e-05,-6.0319077987877024e-05,0.00034706434979914474,-2.731484235769245e-05,-1.2122209799595855e-05,-4.04199357044087e-05,-8.993120662644313e-05,-9.928837572339692e-06,0.0004456902208044757,0.000335852512646738,-3.118745975982859e-05,-1.0429868634094376e-05,0.00033265264855192214,-1.4314152145356837e-05,0.0003444184282387317,-9.426891666130486e-06,0.0003323224025905206,-1.0416322899654768e-05,-2.2118943644857584e-05,-2.2499651850949597e-05,-3.220813567134999e-05,0.0,-1.4408606860707761e-06,-5.852877265938438e-06,-0.0010812461963292414,0.0
P.Mut.RB1,-1.2835721417776708e-05,-0.00026862731085798726,0.0007865248771319809,-0.0009432974704824497,-0.0005072845618807294,-1.5194304472187714e-05,-0.0006684610124952372,-7.650456457194883e-05,-1.991530032365097e-05,-0.00013345520237990145,0.00023785390463172484,-0.0005285611624366488,-0.0003151728336705584,-0.00020185461856997937,-1.591901404023821e-05,-0.0001408510917283106,0.00299762678612872,-0.00014514901176339773,-2.949230634251595e-05,-8.334380560976705,-5.173902607836904e-05,-8.831734117616782e-05,-7.936789470291768e-05,-6.538733637878068e-05,-0.0001996500493423803,-2.547323616637595e-05,-6.527894765113581e-05,-0.00017333664667222435,-2.4543830134614006e-05,-4.467845090212079e-05,-2.029805000796007e-05,-0.00013244847132379398,-0.0001867935631862626,-1.4708548696392337e-05,-0.00016695442790363847,-7.080410244290284e-05,-6.08920925960265e-05,0.00034379250996765414,-7.725612590425728e-05,-4.2442777984400803e-05,-3.8991374174341515e-05,-1.3560098347946661e-05,-7.234443782001127e-05,-1.5908652811086547e-05,-4.206851338652403e-05,-3.8815624608863167e-05,-8.922942672740227e-05,0.0,-4.3920256633223546e-06,-9.564429209666349e-06,-0.006535632098200237,0.0
